id,trigger,conditions,script,text,options,notes
# Star Wars Story,,,,,,
# initial interaction with main contact,,,,,,
sws_mainContactBegin,PickGreeting,"$sws_mainContact score:100
$global.swsStage == INIT",ShowPersonVisual,"As you enter Chalmun's Cantina you find a very observant and attentive character carefully watching you from the other end of the room.

You decide to approach him and ask for the reason he can't take his gaze away from you.

""You're not from around here, are you? You seem quite surprised to see so many alien races in one place, if I had to guess I'd say you have never seen a single one of them other than our own.""","0:swsNegative:""I've never seen these sectors... What is all this?""
1:swsAffirmative:""I've seen lots of systems and different races, nothing new here...""",
sws_mainBackground1,DialogOptionSelected,$option == swsNegative,,"""Welcome to the dominion of the Galactic Empire. Try not to piss them off or you will be in serious trouble!
""",0:tutBgCont1:Continue,
sws_mainGetDataInfo1,DialogOptionSelected,$option == swsAffirmative,,"""You are either a liar or you worry less about the current state of affairs than you should...
Do you seriously think the Hegemony will protect you? Or the Tri-Tachyon? None of them can face the Empire on it's own!

Sadly for us, both of them are quite friendly towards the Empire so our chances of retaliation get lower by the day...""","0:swsAssign:""Ok, so who can face the Empire?""",
sws_mainGetDataInfo2,DialogOptionSelected,$option == swsAssign,,"""There is a group of soldiers that keep resisting and fighting back the advances of the Empire, but they are weak and not very effective. They need all the help they can get, and they could use a man with your skills.

You should look for the Rebel Alliance's headquarters and volunteer to help them. I can't give you an exact location because they like to keep it a secret but it should be somewhere north of the Coruscant system.
Just be careful not to fall into the imperial hands of allow yourself to be followed by them, without the rebels there won't be many left to fight back and we will all become slaves to the Empire.""","0:tutCont2a:""Why me?""
1:tutCont2b:""What's in it for me?""",
,,,,,,
sws_mainGetDataWhyMe,DialogOptionSelected,$option == tutCont2a,"AdjustRep $personFaction.id WELCOMING 1
AdjustRepActivePerson WELCOMING 2","""Why not? I'm not exactly spoiled for choice, and you've shown some ability to handle ... difficulties.

It's not going to be a milk run, that's for sure.""","2:tutContGoDark:""What's the plan?""",
sws_mainGetDataWhatsInIt,DialogOptionSelected,$option == tutCont2b,AddRemoveCommodity credits 2000 true,"""Ah, a mercenary. Some credits, naturally, with more along the way - and if all goes to plan, we'll be able to reconnect with the rest of the Sector, such as it is.""","2:tutContGoDark:""What's the plan?""",
sws_mainGetDataGoDark,DialogOptionSelected,$option == tutContGoDark,"SetTextHighlights ""\""Go Dark\""""
AddAbility go_dark 1","""First off, make sure to turn off your transponder once you undock. I've instructed the security detachment not to give you any trouble about that.

If you're lucky, the pirates may even think you're one of their own and let you approach Derinkuyu without any trouble. Still, it makes sense to ""Go Dark"" as you get closer, to make sure they can't get too good a reading on your fleet.""","2:tutContEBurn:""And if they do notice me?""",
sws_mainGetDataEBurn,DialogOptionSelected,$option == tutContEBurn,"SetTextHighlights ""\""Emergency Burn\""""
AddAbility emergency_burn 3","""Then you're in trouble - activate ""Emergency Burn"" to get out of there, lose them, and then come back around to try again.

Don't e-burn unless you really need to, though. It's hard on the ships, and will cost you more supplies to recover from. Eats up a good chunk of fuel, too.""","2:tutCont3:""Very well.""",
sws_mainGetDataAccept,DialogOptionSelected,$option == tutCont3,CallEvent $sws_eventRef startGetData,"""Excellent. Thank you for being willing to help - come back when you've got the data. Good luck!""",0:cutCommLinkPolite:Cut the comm link,
sws_mainComeBackNoStageMatch,PickGreeting,$sws_mainContact score:100,ShowPersonVisual,"""You should leave and forget you know me, it's safer for both of us.""",0:cutCommLinkPolite:Cut the comm link,
,,,,,,
# getting data from agent,,,,,,
