id,type,text1,text2,text3,notes
sd_main_battery,WEAPON,"Mounted in three turrets on each side of the dorsal hull, the twin-barreled turbolasers served as heavy anti-capital ship weapons, being too slow to reliably target fast starfighters. They could punch through both deflector shields and armor on spaceships with the heaviest defensive layers.",Strike,,
sd_barbette_turbo,WEAPON,"The turbolaser cannon was marked by eight individual barrels arranged in rows of four on a barbette mounting. They were placed on the dorsal hull of the Star Destroyer, on each side of the command tower.",Strike,,
dby_827,WEAPON,"The DBY-827 had seven different intensity settings. This allowed the Venator's pilots and gunners to select a range of destruction, from a small strike to a vaporizing blow. During close-range fights, the turret could rotate in three seconds with its fast-tracking mode.",Strike,,
sd_heavy_turbo_4x,WEAPON,"Four-barreled Heavy Turbolaser Turret",Assault,,
sd_heavy_turbo,WEAPON,"Heavy laser cannon equipped with large banks of capacitors, allowing them to build up and store far more powerful energy bursts than standard cannons. ",Assault,,
sd_turbo_cannon_4x,WEAPON,Quad turbolasers were magnitudes more powerful than the quad laser cannons. Typically mounted as supporting weapons on large ships or as the main guns of smaller vessels.,Close Support,,
sd_turbo_cannon,WEAPON,Dual Barrel Turbolaser Cannon. Typically used for close support of the slower main guns.,Close Support,,
sd_turbo_batt,WEAPON,"The turbolaser was the immensely scaled up version of the blaster and laser cannon. These weapons were generally mounted on rotating turrets.",Assault,,
sd_med_turbo_4x,WEAPON,Quad Medium Turbolaser designed for anti-fighter defense. Also effective against smaller combat vessels.,Close Support,,
sd_med_turbo_3x,WEAPON,Three barreled Medium Turret with improved tracking for defending against smaller craft.,Close Support,,
sd_med_turbo,WEAPON,"Medium Turbolasers are smaller, lower powered versions of Turbolasers designed for a faster recycle time, but lack the range of the larger guns.",Close Support,,
quad_laser_cannon,WEAPON,"Four laser cannons which could be fired alternately in pairs or individualy in rapid succession, making them ideal for starfighter defense. They were very powerful compared to other ship-mounted weapons, and more affordable as well.",Point Defense,,
sd_ion_battery,WEAPON,"A weapon which fired highly ionized particles or highly ionized plasma. These particles seriously interfered with the operation of electronics and computer systems, shorting circuits and often disabling them outright. These turrets pack several times the power of standard cannons.",Strike,,
sd_ion_heavy,WEAPON,"A more powerful Ion Cannon on larger combat vessels, due to increased power needs.",Assault,,
sd_ion_cannon,WEAPON,Standard Ion Cannon used throughout the galaxy.,Close Support,,
pd_gun,WEAPON,Standard Point defense quad laser turret with very low recycle rate.,Point Defense,,
sd_pd_gun,WEAPON,Heavier Point Defense quad laser used on the largest ships.,Point Defense,,
proton_torp_heavy,WEAPON,Capital-ship energized torpedoes carried a devastatingly powerful blast.,Strike,,
cuncussion_missle_assault,WEAPON,Capital Ship heavy missiles primarily used for planetary bombardement and anti-capital ship duty.,Strike,,
turbo_cannon,WEAPON,"Turbolaser cannon modified by Mon Calamari technicians to produce higher rate of fire and greater range than Imperial variants. The trade off is reduced damage. Overall more powerful than standard Turbolasers of larger size.",Assault,,
turbolaser_r,WEAPON,"Mon Calamari modified Turbolaser. Higher rate of fire and increased range at a reduced damage output over comparible Imperial weapons.",Assault,,
ion_cannon_r,WEAPON,"Mon Calamari technicians have massively increased the output of Ion Cannons. With their ships having lower firepower than Imperial cruisers, the ability to knock out enemy systems give the Mon Calamari ships a fighting chance.",Assault,,
ag_2g,WEAPON,"Enhanced cooling packs and compressors allowed for prolonged fire without the risk of overheating. A splitter coupling dispersed the energy beam, forcing the target's shields to deflect energy simultaneously from two hits and increasing the likelihood of overloading the shields and inflicting greater damage.",Point Defense,,
